,people_ID,Infect_prob
0,5942,26.258337
1,18664,30.955982
2,5603,9.337188
3,5649,64.40307
4,5099,26.959927
5,18749,57.01331
6,5228,74.22546
7,5559,55.86635
8,5220,87.42793
9,5476,29.638298
10,5260,5.271255
11,17638,30.230442
12,18635,59.996727
13,18794,19.492281
14,5263,6.878205
15,17680,35.98355
16,18030,60.14778
17,18090,32.77445
18,18455,70.282814
19,18155,80.805534
20,18116,64.83623
21,18144,59.783615
22,5218,36.889156
23,5386,32.007816
24,18105,18.149626
25,5735,55.00679
26,5900,72.45067
27,18391,60.377995
28,5786,30.499893
29,18639,55.033253
30,17984,31.387365
31,18274,7.9128084
32,5425,50.670265
33,6076,34.383846
34,18545,15.350356
35,17697,23.300735
36,6137,53.281174
37,6083,74.895355
38,17730,30.65079
39,5896,19.622524
40,18906,8.499886
41,17808,63.35843
42,6078,36.937675
43,5516,78.42227
44,18093,49.250526
45,6120,24.513962
46,18154,29.924953
47,17935,78.96588
48,18769,71.076096
49,18264,17.5899
50,18076,86.72524
51,18035,87.79527
52,18051,75.81417
53,18676,80.98831
54,5332,11.627033
55,5898,38.158287
56,18370,77.93029
57,17706,10.943781
58,5198,25.70198
59,18360,14.139077
60,18240,63.955185
61,18691,55.280323
62,5768,30.109333
63,18315,84.06159
64,18776,86.77627
65,6225,58.438705
66,17983,40.55076
67,17973,42.108536
68,5805,13.343249
69,5500,38.86483
70,5305,59.308193
71,18243,79.41993
72,5169,58.190697
73,5258,35.169193
74,17810,40.028553
75,5714,87.52495
76,6070,21.244543
77,5959,18.935356
78,18771,35.3026
79,17765,62.837032
80,18822,30.717415
81,17735,45.61717
82,17966,10.211344
83,18861,37.57289
84,18236,80.16484
85,18750,45.955517
86,17809,19.87009
87,6049,49.59886
88,18465,8.159394
89,6201,32.784027
90,18877,86.23608
91,5087,59.48657
92,17742,5.187031
93,17941,61.508934
94,18421,85.62387
95,18489,57.47356
96,6299,44.4966
97,18428,63.182743
98,5563,39.05111
99,18796,14.48571
100,5849,66.44759
101,5661,85.89223
102,5893,78.68296
103,5378,36.470524
104,5622,83.29046
105,5823,56.319283
106,18521,34.78215
107,5502,56.030186
108,18785,53.604237
109,17783,36.25983
110,18424,60.94622
111,18147,15.954824
112,18881,13.495156
113,18851,82.248116
114,17686,65.734695
115,5100,29.44825
116,5213,10.711001
117,18252,9.325547
118,5576,8.060891
119,18050,63.032402
120,5875,62.514923
121,6059,72.2225
122,18599,59.294205
123,5173,23.503887
124,5461,16.190104
125,5151,67.55755
126,5266,13.002054
127,5514,11.3385105
128,5224,86.748
129,18069,75.396515
130,5587,6.476399
131,17874,14.534241
132,5536,68.024864
133,5215,39.42444
134,5400,90.36192
